Transaction_Number,Error_Type,Amount,Layer1_Classification,ML_Probability,Threshold_Used,Distance_From_Threshold,Reason
107128,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 8.46 > 6
62346,False Positive,68.18,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 9.58 > 6
40091,False Positive,2030.54,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.47 > 6
137611,False Positive,10.95,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 12.05 > 6
49054,False Positive,175.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 11.69 > 6
218654,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.00 > 6
270737,False Positive,106.78,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 12.27 > 6
213983,False Positive,595.01,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.51 > 6
107746,False Positive,0.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 6.05 > 6
132104,False Positive,416.97,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
138412,False Positive,166.06,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.96 > 6
272690,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 10 >= 5
99464,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 7.20 > 6
112583,False Positive,44.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
219309,False Positive,23.87,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.99 > 6
74530,False Positive,496.47,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.45 > 6
253585,False Positive,8.95,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.24 > 6
236987,False Positive,289.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
247348,False Positive,0.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V14: 7.87 > 6
97611,False Positive,3.6,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.92 > 6
173064,False Positive,1367.3,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
15465,False Positive,3.82,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.20 > 6
138713,False Positive,13.19,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.75 > 6
208415,False Positive,2049.42,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
215065,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.25 > 6
20329,False Positive,30.27,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.18 > 6
212374,False Positive,2.23,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.08 > 6
110185,False Positive,10.77,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
148149,False Positive,275.59,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V26: 6.07 > 6
13394,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V3: 9.79 > 6
19760,False Positive,7879.42,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.33 > 6
250632,False Positive,2555.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.02 > 6
135954,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.01 > 6
48567,False Positive,10.35,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.64 > 6
47791,False Positive,199.49,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 9.78 > 6
268699,False Positive,45.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.24 > 6
104220,False Positive,19.62,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 10.46 > 6
18527,False Positive,99.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V3: 7.29 > 6
66319,False Positive,29.97,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V26: 6.23 > 6
47843,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V3: 7.07 > 6
151558,False Positive,0.01,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.45 > 6
116685,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.83 > 6
276159,False Positive,2742.11,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 8.65 > 6
39378,False Positive,121.59,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 9.20 > 6
193524,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 11.19 > 6
265129,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.69 > 6
41667,False Positive,35.15,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.10 > 6
108976,False Positive,1.59,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 9.46 > 6
78382,False Positive,1502.36,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 16.93 > 6
11923,False Positive,1.79,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
91251,False Positive,102.9,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
76409,False Positive,37.41,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V26: 6.47 > 6
1388,False Positive,2452.03,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 7.15 > 6
262643,False Positive,7.7,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
33129,False Positive,1280.34,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 8.57 > 6
260501,False Positive,10.8,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.03 > 6
20056,False Positive,1623.38,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.50 > 6
243582,False Positive,7.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 8.05 > 6
171144,False Positive,1923.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.12 > 6
18485,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V3: 6.79 > 6
242516,False Positive,8.94,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.73 > 6
64985,False Positive,448.52,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 9.27 > 6
94576,False Positive,12.33,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 7.28 > 6
62734,False Positive,11.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.22 > 6
141123,False Positive,1868.88,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 7.33 > 6
199294,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.80 > 6
157739,False Positive,7.58,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
122292,False Positive,4.65,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
253267,False Positive,12.4,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 7.33 > 6
101776,False Positive,500.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 8.08 > 6
234426,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.90 > 6
277386,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.70 > 6
212423,False Positive,1.52,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.70 > 6
20894,False Positive,17.1,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.37 > 6
120790,False Positive,1808.75,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.41 > 6
283094,False Positive,10.76,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.96 > 6
101195,False Positive,169.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
94228,False Positive,20.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
112571,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.22 > 6
49523,False Positive,329.74,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 6.00 > 6
200372,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 7.61 > 6
176927,False Positive,152.65,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
142567,False Positive,9.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.85 > 6
93873,False Positive,578.05,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
169396,False Positive,1465.48,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 7.18 > 6
107008,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 9.11 > 6
247274,False Positive,1536.78,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
59291,False Positive,90.49,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.19 > 6
47182,False Positive,1182.91,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 10.18 > 6
275176,False Positive,811.82,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
23056,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
7094,False Positive,0.01,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.43 > 6
231025,False Positive,1.79,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
151266,False Positive,20.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 6.21 > 6
254908,False Positive,0.92,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.42 > 6
92722,False Positive,204.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
136781,False Positive,29.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
190508,False Positive,17.73,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.05 > 6
93456,False Positive,18.59,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.01 > 6
207774,False Positive,20.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 7.26 > 6
278282,False Positive,9.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.71 > 6
110018,False Positive,26.48,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.30 > 6
181117,False Positive,27.2,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 10.48 > 6
171761,False Positive,152.65,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 8.46 > 6
160535,False Positive,0.98,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
177204,False Positive,20.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 8.17 > 6
10146,False Positive,46.1,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.11 > 6
269972,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 11.87 > 6
109325,False Positive,9.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.28 > 6
191018,False Positive,2.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.07 > 6
43775,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.00 > 6
213355,False Positive,1387.28,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
227088,False Positive,59.78,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
161358,False Positive,84.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
138474,False Positive,3690.24,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 15.01 > 6
138277,False Positive,9.12,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 11 >= 5
191296,False Positive,0.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V17: 6.30 > 6
281422,False Positive,191.27,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
16060,False Positive,99.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
114350,False Positive,100.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
22242,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 7.02 > 6
3771,False Positive,17.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 8.06 > 6
172142,False Positive,125.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 6.57 > 6
154462,False Positive,49.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 8.77 > 6
13876,False Positive,7.65,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 7.82 > 6
39104,False Positive,99.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V17: 7.13 > 6
74405,False Positive,199.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
142228,False Positive,9.21,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.60 > 6
97060,False Positive,17.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.24 > 6
260706,False Positive,0.76,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
37588,False Positive,15.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.35 > 6
139526,False Positive,158.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.10 > 6
21363,False Positive,170.49,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 8.66 > 6
230597,False Positive,31.93,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.10 > 6
252639,False Positive,196.85,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.48 > 6
205557,False Positive,212.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 11.53 > 6
171371,False Positive,26.95,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
36485,False Positive,2607.68,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.15 > 6
101792,False Positive,85.66,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
154987,False Positive,9.9,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.65 > 6
27122,False Positive,115.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 7.09 > 6
240175,False Positive,2.69,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
144229,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.31 > 6
93573,False Positive,1.98,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.70 > 6
99296,False Positive,13.53,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 7.71 > 6
74243,False Positive,5259.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 10.83 > 6
6330,False Positive,1114.02,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
150722,False Positive,32.03,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
235143,False Positive,776.06,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 7.14 > 6
137359,False Positive,0.76,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.69 > 6
134082,False Positive,8.62,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
214433,False Positive,43.59,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
173353,False Positive,4861.64,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 14.60 > 6
40400,False Positive,1157.32,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.04 > 6
282531,False Positive,13.19,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.64 > 6
62413,False Positive,5341.41,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 9.17 > 6
222704,False Positive,12.34,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
48821,False Positive,238.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.53 > 6
37642,False Positive,49.74,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
15729,False Positive,1499.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
150109,False Positive,10.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 11.99 > 6
164179,False Positive,30.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.11 > 6
140493,False Positive,2400.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 7.39 > 6
128408,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 10.20 > 6
169620,False Positive,3119.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.89 > 6
96130,False Positive,64.96,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 9.31 > 6
176820,False Positive,0.77,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 7.04 > 6
194187,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 9.28 > 6
197403,False Positive,0.76,PASS,0.40750482870671634,0.4,,ML probability 0.4075 >= threshold 0.4
38193,False Positive,305.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.95 > 6
142233,False Positive,0.92,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.65 > 6
122250,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 7.31 > 6
140902,False Positive,4276.82,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 8.31 > 6
34532,False Positive,25.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
214024,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 13.39 > 6
36786,False Positive,6.82,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 6.60 > 6
63201,False Positive,3468.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.93 > 6
40590,False Positive,1157.32,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.48 > 6
126576,False Positive,25.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.21 > 6
84653,False Positive,196.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 15.92 > 6
71765,False Positive,0.76,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
239510,False Positive,1.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 6.53 > 6
61140,False Positive,508.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V17: 7.53 > 6
188529,False Positive,2904.14,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.17 > 6
73174,False Positive,1764.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 8.68 > 6
174451,False Positive,82.27,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.77 > 6
56048,False Positive,100.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
9119,False Positive,948.59,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 8.18 > 6
169299,False Positive,152.65,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
209739,False Positive,621.18,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
37432,False Positive,1952.4,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V5: 6.71 > 6
224362,False Positive,1.79,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
90508,False Positive,2646.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 6.61 > 6
93940,False Positive,1.54,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
10515,False Positive,0.69,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 6.45 > 6
12034,False Positive,89.99,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V17: 7.24 > 6
192043,False Positive,13.35,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
123551,False Positive,45.21,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.10 > 6
98988,False Positive,81.49,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.01 > 6
145022,False Positive,102.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 18.86 > 6
277515,False Positive,0.85,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V10: 9.37 > 6
276998,False Positive,26.73,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V27: 9.15 > 6
210334,False Positive,7.7,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
75830,False Positive,1.18,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 7.94 > 6
153525,False Positive,24.95,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
217234,False Positive,3561.84,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 7.51 > 6
150725,False Positive,38.42,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
32835,False Positive,552.1,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.42 > 6
270396,False Positive,1013.05,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
119607,False Positive,2.67,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 6.92 > 6
97661,False Positive,5.54,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
14200,False Positive,357.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
229634,False Positive,8.99,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 7 >= 5
153427,False Positive,0.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
29293,False Positive,3075.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V2: 6.36 > 6
14976,False Positive,0.89,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
113773,False Positive,122.97,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 6.91 > 6
169960,False Positive,152.65,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 9 >= 5
25739,False Positive,15.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 10.25 > 6
183111,False Positive,888.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 6 >= 5
176335,False Positive,1676.6,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 18.22 > 6
15386,False Positive,21.72,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V9: 8.37 > 6
251620,False Positive,2014.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
213878,False Positive,7.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V21: 10.85 > 6
219257,False Positive,3502.11,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 15.47 > 6
210122,False Positive,2413.9,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 7.54 > 6
65890,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V23: 12.60 > 6
128606,False Positive,1.5,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V7: 11.56 > 6
130309,False Positive,7.44,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 9.26 > 6
230600,False Positive,1420.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 11.49 > 6
212127,False Positive,2.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
221250,False Positive,57.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V8: 8.57 > 6
30718,False Positive,100.0,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 8 >= 5
218439,False Positive,167.7,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V28: 6.24 > 6
155741,False Positive,280.91,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V1: 8.77 > 6
73301,False Positive,2500.0,BLOCK,1.0,N/A (BLOCK),,extreme z-score in V20: 7.18 > 6
53417,False Positive,1251.05,BLOCK,1.0,N/A (BLOCK),,too many extreme features: 5 >= 5
